Date,Procedure,n_Procedure,Temperature,EventTarget
1/4/2016,A,7,20,0
1/4/2016,B,4,20,0
1/4/2016,C,5,20,0
1/5/2016,A,3,23,0
1/5/2016,B,2,23,0
1/5/2016,C,3,23,0
1/6/2016,A,3,23,0
1/6/2016,B,5,23,0
1/6/2016,C,6,23,0
1/7/2016,A,6,24,0
1/7/2016,B,2,24,0
1/7/2016,C,5,24,0
1/8/2016,A,7,25,0
1/8/2016,B,2,25,0
1/8/2016,C,1,25,0
1/9/2016,A,8,28,0
1/9/2016,B,3,28,0
1/9/2016,C,2,28,0
1/10/2016,A,6,21,0
1/10/2016,B,4,21,0
1/10/2016,C,4,21,0
1/11/2016,A,5,23,0
1/11/2016,B,2,23,0
1/11/2016,C,1,23,0
1/12/2016,A,9,19,1
1/12/2016,B,1,19,1
1/12/2016,C,4,19,1
1/13/2016,A,5,22,2
1/13/2016,B,2,22,2
1/13/2016,C,5,22,2
1/14/2016,A,7,21,2
1/14/2016,B,3,21,2
1/14/2016,C,1,21,2
1/15/2016,A,4,19,0
1/15/2016,B,1,19,0
1/15/2016,C,1,19,0
1/16/2016,A,4,21,0
1/16/2016,B,4,21,0
1/16/2016,C,10,21,0
1/17/2016,A,2,21,0
1/17/2016,B,3,21,0
1/17/2016,C,3,21,0
1/18/2016,A,6,21,0
1/18/2016,B,1,21,0
1/18/2016,C,4,21,0
1/19/2016,A,4,28,2
1/19/2016,B,2,28,2
1/19/2016,C,2,28,2
1/20/2016,A,5,21,2
1/20/2016,B,2,21,2
1/20/2016,C,3,21,2
1/21/2016,A,3,20,2
1/21/2016,B,2,20,2
1/21/2016,C,3,20,2
1/22/2016,A,7,25,0
1/22/2016,B,5,25,0
1/22/2016,C,3,25,0
1/23/2016,A,5,20,0
1/23/2016,B,0,20,0
1/23/2016,C,2,20,0
1/24/2016,A,10,29,0
1/24/2016,B,2,29,0
1/24/2016,C,3,29,0
1/25/2016,A,7,29,0
1/25/2016,B,1,29,0
1/25/2016,C,4,29,0
1/26/2016,A,8,21,0
1/26/2016,B,2,21,0
1/26/2016,C,4,21,0
1/27/2016,A,2,26,2
1/27/2016,B,2,26,2
1/27/2016,C,3,26,2
1/28/2016,A,7,20,2
1/28/2016,B,3,20,2
1/28/2016,C,1,20,2
1/29/2016,A,4,20,2
1/29/2016,B,4,20,2
1/29/2016,C,1,20,2
1/30/2016,A,10,17,2
1/30/2016,B,3,17,2
1/30/2016,C,4,17,2
1/31/2016,A,6,18,0
1/31/2016,B,0,18,0
1/31/2016,C,2,18,0
2/1/2016,A,5,18,0
2/1/2016,B,3,18,0
2/1/2016,C,3,18,0
2/2/2016,A,10,22,0
2/2/2016,B,0,22,0
2/2/2016,C,2,22,0
2/3/2016,A,7,21,2
2/3/2016,B,3,21,2
2/3/2016,C,1,21,2
2/4/2016,A,4,19,2
2/4/2016,B,2,19,2
2/4/2016,C,4,19,2
2/5/2016,A,3,27,2
2/5/2016,B,2,27,2
2/5/2016,C,3,27,2
2/6/2016,A,5,26,2
2/6/2016,B,1,26,2
2/6/2016,C,3,26,2
2/7/2016,A,6,26,1
2/7/2016,B,1,26,1
2/7/2016,C,3,26,1
2/8/2016,A,6,28,1
2/8/2016,B,4,28,1
2/8/2016,C,5,28,1
2/9/2016,A,2,23,2
2/9/2016,B,1,23,2
2/9/2016,C,2,23,2
2/10/2016,A,3,22,2
2/10/2016,B,2,22,2
2/10/2016,C,3,22,2
2/11/2016,A,11,23,2
2/11/2016,B,4,23,2
2/11/2016,C,3,23,2
2/12/2016,A,6,21,0
2/12/2016,B,3,21,0
2/12/2016,C,3,21,0
2/13/2016,A,6,19,0
2/13/2016,B,3,19,0
2/13/2016,C,3,19,0
2/14/2016,A,5,24,0
2/14/2016,B,4,24,0
2/14/2016,C,4,24,0
2/15/2016,A,6,24,0
2/15/2016,B,3,24,0
2/15/2016,C,6,24,0
2/16/2016,A,5,23,2
2/16/2016,B,6,23,2
2/16/2016,C,2,23,2
2/17/2016,A,5,24,2
2/17/2016,B,1,24,2
2/17/2016,C,5,24,2
2/18/2016,A,2,25,2
2/18/2016,B,5,25,2
2/18/2016,C,2,25,2
2/19/2016,A,8,25,2
2/19/2016,B,7,25,2
2/19/2016,C,3,25,2
2/20/2016,A,8,20,2
2/20/2016,B,3,20,2
2/20/2016,C,1,20,2
2/21/2016,A,9,29,0
2/21/2016,B,4,29,0
2/21/2016,C,3,29,0
2/22/2016,A,5,33,0
2/22/2016,B,2,33,0
2/22/2016,C,0,33,0
2/23/2016,A,7,33,0
2/23/2016,B,1,33,0
2/23/2016,C,6,33,0
2/24/2016,A,9,33,2
2/24/2016,B,1,33,2
2/24/2016,C,3,33,2
2/25/2016,A,5,22,2
2/25/2016,B,2,22,2
2/25/2016,C,1,22,2
2/26/2016,A,8,26,2
2/26/2016,B,2,26,2
2/26/2016,C,3,26,2
2/27/2016,A,7,24,2
2/27/2016,B,4,24,2
2/27/2016,C,6,24,2
2/28/2016,A,6,33,0
2/28/2016,B,0,33,0
2/28/2016,C,2,33,0
2/29/2016,A,5,23,0
2/29/2016,B,0,23,0
2/29/2016,C,7,23,0
3/1/2016,A,4,26,0
3/1/2016,B,5,26,0
3/1/2016,C,4,26,0
3/2/2016,A,7,27,0
3/2/2016,B,2,27,0
3/2/2016,C,4,27,0
3/3/2016,A,8,28,0
3/3/2016,B,0,28,0
3/3/2016,C,6,28,0
3/4/2016,A,6,23,0
3/4/2016,B,3,23,0
3/4/2016,C,5,23,0
3/5/2016,A,3,25,2
3/5/2016,B,3,25,2
3/5/2016,C,3,25,2
3/6/2016,A,7,32,2
3/6/2016,B,5,32,2
3/6/2016,C,1,32,2
3/7/2016,A,5,26,2
3/7/2016,B,2,26,2
3/7/2016,C,6,26,2
3/8/2016,A,12,27,0
3/8/2016,B,4,27,0
3/8/2016,C,1,27,0
3/9/2016,A,7,24,2
3/9/2016,B,2,24,2
3/9/2016,C,4,24,2
3/10/2016,A,4,27,2
3/10/2016,B,0,27,2
3/10/2016,C,1,27,2
3/11/2016,A,4,23,2
3/11/2016,B,4,23,2
3/11/2016,C,0,23,2
3/12/2016,A,7,33,2
3/12/2016,B,5,33,2
3/12/2016,C,3,33,2
3/13/2016,A,7,34,2
3/13/2016,B,1,34,2
3/13/2016,C,2,34,2
3/14/2016,A,4,31,1
3/14/2016,B,7,31,1
3/14/2016,C,1,31,1
3/15/2016,A,11,26,0
3/15/2016,B,3,26,0
3/15/2016,C,4,26,0
3/16/2016,A,4,31,2
3/16/2016,B,4,31,2
3/16/2016,C,2,31,2
3/17/2016,A,2,29,2
3/17/2016,B,1,29,2
3/17/2016,C,5,29,2
3/18/2016,A,3,24,2
3/18/2016,B,7,24,2
3/18/2016,C,3,24,2
3/19/2016,A,2,26,0
3/19/2016,B,3,26,0
3/19/2016,C,1,26,0
3/20/2016,A,4,23,0
3/20/2016,B,0,23,0
3/20/2016,C,4,23,0
3/21/2016,A,2,30,0
3/21/2016,B,3,30,0
3/21/2016,C,1,30,0
3/22/2016,A,5,29,0
3/22/2016,B,0,29,0
3/22/2016,C,3,29,0
3/23/2016,A,9,27,0
3/23/2016,B,4,27,0
3/23/2016,C,4,27,0
3/24/2016,A,5,22,2
3/24/2016,B,3,22,2
3/24/2016,C,3,22,2
3/25/2016,A,7,27,2
3/25/2016,B,4,27,2
3/25/2016,C,3,27,2
3/26/2016,A,6,32,2
3/26/2016,B,1,32,2
3/26/2016,C,3,32,2
3/27/2016,A,5,34,0
3/27/2016,B,6,34,0
3/27/2016,C,3,34,0
3/28/2016,A,5,36,0
3/28/2016,B,3,36,0
3/28/2016,C,1,36,0
3/29/2016,A,7,38,0
3/29/2016,B,1,38,0
3/29/2016,C,3,38,0
3/30/2016,A,5,36,0
3/30/2016,B,1,36,0
3/30/2016,C,2,36,0
3/31/2016,A,5,24,2
3/31/2016,B,4,24,2
3/31/2016,C,2,24,2
4/1/2016,A,5,20,2
4/1/2016,B,1,20,2
4/1/2016,C,2,20,2
4/2/2016,A,5,22,2
4/2/2016,B,2,22,2
4/2/2016,C,6,22,2
4/3/2016,A,2,21,0
4/3/2016,B,1,21,0
4/3/2016,C,1,21,0
4/4/2016,A,8,21,0
4/4/2016,B,2,21,0
4/4/2016,C,4,21,0
4/5/2016,A,9,27,0
4/5/2016,B,4,27,0
4/5/2016,C,2,27,0
4/6/2016,A,8,33,2
4/6/2016,B,0,33,2
4/6/2016,C,9,33,2
4/7/2016,A,4,27,2
4/7/2016,B,3,27,2
4/7/2016,C,2,27,2
4/8/2016,A,3,27,2
4/8/2016,B,4,27,2
4/8/2016,C,4,27,2
4/9/2016,A,5,26,1
4/9/2016,B,1,26,1
4/9/2016,C,4,26,1
4/10/2016,A,7,26,1
4/10/2016,B,5,26,1
4/10/2016,C,6,26,1
4/11/2016,A,7,35,1
4/11/2016,B,2,35,1
4/11/2016,C,4,35,1
4/12/2016,A,7,38,0
4/12/2016,B,3,38,0
4/12/2016,C,1,38,0
4/13/2016,A,6,27,2
4/13/2016,B,2,27,2
4/13/2016,C,2,27,2
4/14/2016,A,7,34,2
4/14/2016,B,2,34,2
4/14/2016,C,5,34,2
4/15/2016,A,6,34,0
4/15/2016,B,4,34,0
4/15/2016,C,2,34,0
4/16/2016,A,6,31,0
4/16/2016,B,3,31,0
4/16/2016,C,2,31,0
4/17/2016,A,7,28,0
4/17/2016,B,1,28,0
4/17/2016,C,2,28,0
4/18/2016,A,6,26,0
4/18/2016,B,1,26,0
4/18/2016,C,4,26,0
4/19/2016,A,4,26,2
4/19/2016,B,5,26,2
4/19/2016,C,4,26,2
4/20/2016,A,2,32,2
4/20/2016,B,0,32,2
4/20/2016,C,4,32,2
4/21/2016,A,6,32,2
4/21/2016,B,2,32,2
4/21/2016,C,5,32,2
4/22/2016,A,6,26,2
4/22/2016,B,1,26,2
4/22/2016,C,3,26,2
4/23/2016,A,5,34,0
4/23/2016,B,3,34,0
4/23/2016,C,4,34,0
4/24/2016,A,4,28,1
4/24/2016,B,1,28,1
4/24/2016,C,1,28,1
4/25/2016,A,2,35,1
4/25/2016,B,4,35,1
4/25/2016,C,3,35,1
4/26/2016,A,7,37,1
4/26/2016,B,3,37,1
4/26/2016,C,4,37,1
4/27/2016,A,7,28,0
4/27/2016,B,4,28,0
4/27/2016,C,4,28,0
4/28/2016,A,6,42,0
4/28/2016,B,4,42,0
4/28/2016,C,3,42,0
4/29/2016,A,5,33,0
4/29/2016,B,3,33,0
4/29/2016,C,7,33,0
4/30/2016,A,3,30,2
4/30/2016,B,0,30,2
4/30/2016,C,3,30,2
5/1/2016,A,5,31,2
5/1/2016,B,3,31,2
5/1/2016,C,4,31,2
5/2/2016,A,6,32,2
5/2/2016,B,4,32,2
5/2/2016,C,2,32,2
5/3/2016,A,3,36,0
5/3/2016,B,2,36,0
5/3/2016,C,5,36,0
5/4/2016,A,8,32,0
5/4/2016,B,3,32,0
5/4/2016,C,2,32,0
5/5/2016,A,7,39,0
5/5/2016,B,2,39,0
5/5/2016,C,4,39,0
5/6/2016,A,8,44,0
5/6/2016,B,1,44,0
5/6/2016,C,3,44,0
5/7/2016,A,4,43,0
5/7/2016,B,4,43,0
5/7/2016,C,5,43,0
5/8/2016,A,3,39,0
5/8/2016,B,5,39,0
5/8/2016,C,6,39,0
5/9/2016,A,6,39,0
5/9/2016,B,0,39,0
5/9/2016,C,5,39,0
5/10/2016,A,7,32,0
5/10/2016,B,4,32,0
5/10/2016,C,3,32,0
5/11/2016,A,7,33,0
5/11/2016,B,4,33,0
5/11/2016,C,4,33,0
5/12/2016,A,7,42,0
5/12/2016,B,0,42,0
5/12/2016,C,3,42,0
5/13/2016,A,4,35,0
5/13/2016,B,1,35,0
5/13/2016,C,2,35,0
5/14/2016,A,6,31,0
5/14/2016,B,2,31,0
5/14/2016,C,3,31,0
5/15/2016,A,3,35,0
5/15/2016,B,5,35,0
5/15/2016,C,1,35,0
5/16/2016,A,1,41,0
5/16/2016,B,2,41,0
5/16/2016,C,3,41,0
5/17/2016,A,7,44,0
5/17/2016,B,3,44,0
5/17/2016,C,4,44,0
5/18/2016,A,9,34,0
5/18/2016,B,0,34,0
5/18/2016,C,6,34,0
5/19/2016,A,4,44,0
5/19/2016,B,4,44,0
5/19/2016,C,5,44,0
5/20/2016,A,3,42,0
5/20/2016,B,2,42,0
5/20/2016,C,1,42,0
5/21/2016,A,4,37,0
5/21/2016,B,2,37,0
5/21/2016,C,3,37,0
5/22/2016,A,7,36,0
5/22/2016,B,4,36,0
5/22/2016,C,4,36,0
5/23/2016,A,4,36,0
5/23/2016,B,5,36,0
5/23/2016,C,7,36,0
5/24/2016,A,5,34,1
5/24/2016,B,5,34,1
5/24/2016,C,4,34,1
5/25/2016,A,4,37,1
5/25/2016,B,5,37,1
5/25/2016,C,3,37,1
5/26/2016,A,4,34,1
5/26/2016,B,3,34,1
5/26/2016,C,2,34,1
5/27/2016,A,8,34,0
5/27/2016,B,1,34,0
5/27/2016,C,5,34,0
5/28/2016,A,9,31,0
5/28/2016,B,1,31,0
5/28/2016,C,1,31,0
5/29/2016,A,5,40,0
5/29/2016,B,3,40,0
5/29/2016,C,0,40,0
5/30/2016,A,5,42,0
5/30/2016,B,0,42,0
5/30/2016,C,5,42,0
5/31/2016,A,6,40,2
5/31/2016,B,5,40,2
5/31/2016,C,5,40,2
6/1/2016,A,7,32,2
6/1/2016,B,4,32,2
6/1/2016,C,4,32,2
6/2/2016,A,7,33,2
6/2/2016,B,1,33,2
6/2/2016,C,3,33,2
6/3/2016,A,5,36,2
6/3/2016,B,2,36,2
6/3/2016,C,6,36,2
6/4/2016,A,10,30,2
6/4/2016,B,2,30,2
6/4/2016,C,4,30,2
6/5/2016,A,4,40,2
6/5/2016,B,2,40,2
6/5/2016,C,4,40,2
6/6/2016,A,9,43,0
6/6/2016,B,5,43,0
6/6/2016,C,5,43,0
6/7/2016,A,3,43,1
6/7/2016,B,4,43,1
6/7/2016,C,3,43,1
6/8/2016,A,7,41,1
6/8/2016,B,2,41,1
6/8/2016,C,3,41,1
6/9/2016,A,8,39,1
6/9/2016,B,3,39,1
6/9/2016,C,2,39,1
6/10/2016,A,7,42,2
6/10/2016,B,1,42,2
6/10/2016,C,3,42,2
6/11/2016,A,3,46,2
6/11/2016,B,3,46,2
6/11/2016,C,8,46,2
6/12/2016,A,5,42,0
6/12/2016,B,2,42,0
6/12/2016,C,4,42,0
6/13/2016,A,5,39,0
6/13/2016,B,4,39,0
6/13/2016,C,2,39,0
6/14/2016,A,4,31,0
6/14/2016,B,1,31,0
6/14/2016,C,3,31,0
6/15/2016,A,7,37,0
6/15/2016,B,2,37,0
6/15/2016,C,4,37,0
6/16/2016,A,6,32,0
6/16/2016,B,3,32,0
6/16/2016,C,5,32,0
6/17/2016,A,5,32,1
6/17/2016,B,6,32,1
6/17/2016,C,2,32,1
6/18/2016,A,4,43,1
6/18/2016,B,7,43,1
6/18/2016,C,5,43,1
6/19/2016,A,4,45,1
6/19/2016,B,3,45,1
6/19/2016,C,5,45,1
6/20/2016,A,3,42,1
6/20/2016,B,3,42,1
6/20/2016,C,3,42,1
6/21/2016,A,2,34,0
6/21/2016,B,5,34,0
6/21/2016,C,3,34,0
6/22/2016,A,0,44,2
6/22/2016,B,2,44,2
6/22/2016,C,4,44,2
6/23/2016,A,4,35,2
6/23/2016,B,1,35,2
6/23/2016,C,3,35,2
6/24/2016,A,7,36,2
6/24/2016,B,6,36,2
6/24/2016,C,1,36,2
6/25/2016,A,3,35,0
6/25/2016,B,4,35,0
6/25/2016,C,2,35,0
6/26/2016,A,3,47,0
6/26/2016,B,4,47,0
6/26/2016,C,2,47,0
6/27/2016,A,3,45,0
6/27/2016,B,2,45,0
6/27/2016,C,3,45,0
6/28/2016,A,5,41,0
6/28/2016,B,5,41,0
6/28/2016,C,5,41,0
6/29/2016,A,8,35,0
6/29/2016,B,1,35,0
6/29/2016,C,6,35,0
6/30/2016,A,3,45,0
6/30/2016,B,6,45,0
6/30/2016,C,2,45,0
7/1/2016,A,6,41,0
7/1/2016,B,6,41,0
7/1/2016,C,4,41,0
7/2/2016,A,6,40,0
7/2/2016,B,0,40,0
7/2/2016,C,4,40,0
7/3/2016,A,5,44,0
7/3/2016,B,3,44,0
7/3/2016,C,2,44,0
7/4/2016,A,7,35,0
7/4/2016,B,3,35,0
7/4/2016,C,4,35,0
7/5/2016,A,7,42,0
7/5/2016,B,4,42,0
7/5/2016,C,3,42,0
7/6/2016,A,7,42,0
7/6/2016,B,2,42,0
7/6/2016,C,4,42,0
7/7/2016,A,5,35,0
7/7/2016,B,1,35,0
7/7/2016,C,1,35,0
7/8/2016,A,4,42,0
7/8/2016,B,2,42,0
7/8/2016,C,2,42,0
7/9/2016,A,7,41,0
7/9/2016,B,5,41,0
7/9/2016,C,1,41,0
7/10/2016,A,6,41,0
7/10/2016,B,4,41,0
7/10/2016,C,3,41,0
7/11/2016,A,1,33,0
7/11/2016,B,2,33,0
7/11/2016,C,5,33,0
7/12/2016,A,3,34,0
7/12/2016,B,2,34,0
7/12/2016,C,2,34,0
7/13/2016,A,3,38,0
7/13/2016,B,1,38,0
7/13/2016,C,2,38,0
7/14/2016,A,5,41,0
7/14/2016,B,2,41,0
7/14/2016,C,3,41,0
7/15/2016,A,4,36,0
7/15/2016,B,3,36,0
7/15/2016,C,2,36,0
7/16/2016,A,8,43,0
7/16/2016,B,3,43,0
7/16/2016,C,8,43,0
7/17/2016,A,5,39,2
7/17/2016,B,3,39,2
7/17/2016,C,3,39,2
7/18/2016,A,5,41,2
7/18/2016,B,4,41,2
7/18/2016,C,3,41,2
7/19/2016,A,7,40,2
7/19/2016,B,4,40,2
7/19/2016,C,3,40,2
7/20/2016,A,4,44,2
7/20/2016,B,2,44,2
7/20/2016,C,4,44,2
7/21/2016,A,3,39,0
7/21/2016,B,3,39,0
7/21/2016,C,5,39,0
7/22/2016,A,2,36,0
7/22/2016,B,2,36,0
7/22/2016,C,4,36,0
7/23/2016,A,6,47,0
7/23/2016,B,1,47,0
7/23/2016,C,3,47,0
7/24/2016,A,6,48,0
7/24/2016,B,2,48,0
7/24/2016,C,2,48,0
7/25/2016,A,3,45,0
7/25/2016,B,2,45,0
7/25/2016,C,2,45,0
7/26/2016,A,3,36,0
7/26/2016,B,1,36,0
7/26/2016,C,4,36,0
7/27/2016,A,4,42,0
7/27/2016,B,5,42,0
7/27/2016,C,8,42,0
7/28/2016,A,5,34,0
7/28/2016,B,3,34,0
7/28/2016,C,3,34,0
7/29/2016,A,4,42,0
7/29/2016,B,2,42,0
7/29/2016,C,1,42,0
7/30/2016,A,4,42,0
7/30/2016,B,3,42,0
7/30/2016,C,8,42,0
7/31/2016,A,3,46,0
7/31/2016,B,1,46,0
7/31/2016,C,2,46,0
8/1/2016,A,9,43,0
8/1/2016,B,7,43,0
8/1/2016,C,7,43,0
8/2/2016,A,8,42,0
8/2/2016,B,0,42,0
8/2/2016,C,4,42,0
8/3/2016,A,4,43,0
8/3/2016,B,4,43,0
8/3/2016,C,9,43,0
8/4/2016,A,6,46,0
8/4/2016,B,2,46,0
8/4/2016,C,3,46,0
8/5/2016,A,6,47,0
8/5/2016,B,3,47,0
8/5/2016,C,0,47,0
8/6/2016,A,9,44,0
8/6/2016,B,3,44,0
8/6/2016,C,4,44,0
8/7/2016,A,4,45,0
8/7/2016,B,1,45,0
8/7/2016,C,7,45,0
8/8/2016,A,1,38,0
8/8/2016,B,4,38,0
8/8/2016,C,2,38,0
8/9/2016,A,4,45,0
8/9/2016,B,0,45,0
8/9/2016,C,3,45,0
8/10/2016,A,6,45,0
8/10/2016,B,8,45,0
8/10/2016,C,0,45,0
8/11/2016,A,5,47,0
8/11/2016,B,0,47,0
8/11/2016,C,3,47,0
8/12/2016,A,6,39,0
8/12/2016,B,2,39,0
8/12/2016,C,4,39,0
8/13/2016,A,3,38,0
8/13/2016,B,5,38,0
8/13/2016,C,0,38,0
8/14/2016,A,5,35,0
8/14/2016,B,2,35,0
8/14/2016,C,1,35,0
8/15/2016,A,4,48,0
8/15/2016,B,1,48,0
8/15/2016,C,3,48,0
8/16/2016,A,6,34,0
8/16/2016,B,2,34,0
8/16/2016,C,5,34,0
8/17/2016,A,2,39,2
8/17/2016,B,0,39,2
8/17/2016,C,8,39,2
8/18/2016,A,6,45,2
8/18/2016,B,1,45,2
8/18/2016,C,2,45,2
8/19/2016,A,7,44,2
8/19/2016,B,2,44,2
8/19/2016,C,8,44,2
8/20/2016,A,3,41,2
8/20/2016,B,2,41,2
8/20/2016,C,7,41,2
8/21/2016,A,9,44,0
8/21/2016,B,0,44,0
8/21/2016,C,3,44,0
8/22/2016,A,3,47,0
8/22/2016,B,4,47,0
8/22/2016,C,2,47,0
8/23/2016,A,8,47,0
8/23/2016,B,1,47,0
8/23/2016,C,5,47,0
8/24/2016,A,5,46,0
8/24/2016,B,2,46,0
8/24/2016,C,3,46,0
8/25/2016,A,10,46,0
8/25/2016,B,2,46,0
8/25/2016,C,2,46,0
8/26/2016,A,8,45,0
8/26/2016,B,3,45,0
8/26/2016,C,1,45,0
8/27/2016,A,6,44,0
8/27/2016,B,4,44,0
8/27/2016,C,4,44,0
8/28/2016,A,7,44,0
8/28/2016,B,1,44,0
8/28/2016,C,1,44,0
8/29/2016,A,5,46,0
8/29/2016,B,5,46,0
8/29/2016,C,5,46,0
8/30/2016,A,7,34,0
8/30/2016,B,3,34,0
8/30/2016,C,3,34,0
8/31/2016,A,4,33,0
8/31/2016,B,0,33,0
8/31/2016,C,7,33,0
9/1/2016,A,4,42,0
9/1/2016,B,3,42,0
9/1/2016,C,7,42,0
9/2/2016,A,2,43,0
9/2/2016,B,4,43,0
9/2/2016,C,5,43,0
9/3/2016,A,2,46,0
9/3/2016,B,2,46,0
9/3/2016,C,4,46,0
9/4/2016,A,7,45,0
9/4/2016,B,4,45,0
9/4/2016,C,4,45,0
9/5/2016,A,4,34,0
9/5/2016,B,5,34,0
9/5/2016,C,0,34,0
9/6/2016,A,8,35,0
9/6/2016,B,2,35,0
9/6/2016,C,2,35,0
9/7/2016,A,5,43,2
9/7/2016,B,2,43,2
9/7/2016,C,2,43,2
9/8/2016,A,12,41,2
9/8/2016,B,3,41,2
9/8/2016,C,1,41,2
9/9/2016,A,5,40,2
9/9/2016,B,2,40,2
9/9/2016,C,4,40,2
9/10/2016,A,6,42,0
9/10/2016,B,5,42,0
9/10/2016,C,5,42,0
9/11/2016,A,3,41,0
9/11/2016,B,1,41,0
9/11/2016,C,3,41,0
9/12/2016,A,3,39,0
9/12/2016,B,1,39,0
9/12/2016,C,6,39,0
9/13/2016,A,3,41,0
9/13/2016,B,5,41,0
9/13/2016,C,4,41,0
9/14/2016,A,8,34,2
9/14/2016,B,1,34,2
9/14/2016,C,3,34,2
9/15/2016,A,3,40,2
9/15/2016,B,2,40,2
9/15/2016,C,3,40,2
9/16/2016,A,5,40,2
9/16/2016,B,3,40,2
9/16/2016,C,4,40,2
9/17/2016,A,5,41,0
9/17/2016,B,1,41,0
9/17/2016,C,1,41,0
9/18/2016,A,4,42,0
9/18/2016,B,2,42,0
9/18/2016,C,4,42,0
9/19/2016,A,6,42,0
9/19/2016,B,1,42,0
9/19/2016,C,4,42,0
9/20/2016,A,2,41,0
9/20/2016,B,5,41,0
9/20/2016,C,4,41,0
9/21/2016,A,7,37,0
9/21/2016,B,2,37,0
9/21/2016,C,6,37,0
9/22/2016,A,5,32,0
9/22/2016,B,2,32,0
9/22/2016,C,5,32,0
9/23/2016,A,4,40,0
9/23/2016,B,2,40,0
9/23/2016,C,5,40,0
9/24/2016,A,2,37,0
9/24/2016,B,2,37,0
9/24/2016,C,3,37,0
9/25/2016,A,11,37,0
9/25/2016,B,0,37,0
9/25/2016,C,2,37,0
9/26/2016,A,6,38,0
9/26/2016,B,3,38,0
9/26/2016,C,2,38,0
9/27/2016,A,7,40,0
9/27/2016,B,7,40,0
9/27/2016,C,3,40,0
9/28/2016,A,5,32,0
9/28/2016,B,1,32,0
9/28/2016,C,3,32,0
9/29/2016,A,6,38,0
9/29/2016,B,0,38,0
9/29/2016,C,4,38,0
9/30/2016,A,4,36,0
9/30/2016,B,5,36,0
9/30/2016,C,2,36,0
10/1/2016,A,6,35,0
10/1/2016,B,2,35,0
10/1/2016,C,1,35,0
10/2/2016,A,6,31,0
10/2/2016,B,0,31,0
10/2/2016,C,5,31,0
10/3/2016,A,6,33,0
10/3/2016,B,0,33,0
10/3/2016,C,5,33,0
10/4/2016,A,3,31,0
10/4/2016,B,5,31,0
10/4/2016,C,2,31,0
10/5/2016,A,4,30,0
10/5/2016,B,1,30,0
10/5/2016,C,4,30,0
10/6/2016,A,4,34,1
10/6/2016,B,5,34,1
10/6/2016,C,4,34,1
10/7/2016,A,9,34,1
10/7/2016,B,4,34,1
10/7/2016,C,2,34,1
10/8/2016,A,1,31,1
10/8/2016,B,5,31,1
10/8/2016,C,3,31,1
10/9/2016,A,5,37,1
10/9/2016,B,5,37,1
10/9/2016,C,1,37,1
10/10/2016,A,1,31,1
10/10/2016,B,1,31,1
10/10/2016,C,8,31,1
10/11/2016,A,7,30,0
10/11/2016,B,2,30,0
10/11/2016,C,2,30,0
10/12/2016,A,6,34,0
10/12/2016,B,3,34,0
10/12/2016,C,5,34,0
10/13/2016,A,3,30,0
10/13/2016,B,5,30,0
10/13/2016,C,3,30,0
10/14/2016,A,4,36,0
10/14/2016,B,3,36,0
10/14/2016,C,1,36,0
10/15/2016,A,5,34,0
10/15/2016,B,2,34,0
